date,quest_id,type,stable_amt,edge_amt,lock_until,proof_url
2025-09-12,Q1,weekly,10000,0,2025-09-19,
2025-09-12,Q1,daily,0,5000,2025-10-12,
2025-09-15,Q2,daily,15000,0,2025-09-22,
2025-09-15,Q2,monthly,0,3000,2025-10-15,
2025-09-18,Q3,weekly,15000,0,2025-09-25,
2025-09-18,Q3,weekly,0,8000,2025-10-18,
2025-09-21,Q4,weekly,20000,0,2025-09-28,
2025-09-21,Q4,weekly,0,3000,2025-10-21,
2025-09-24,Q5,weekly,15000,0,2025-10-01,
2025-09-24,Q5,daily,0,5000,2025-10-24,
2025-09-27,Q6,daily,20000,0,2025-10-04,
2025-09-27,Q6,monthly,0,8000,2025-10-27,
2025-09-30,Q7,monthly,15000,0,2025-10-07,
2025-09-30,Q7,weekly,0,8000,2025-10-30,
2025-10-03,Q8,daily,20000,0,2025-10-10,
2025-10-03,Q8,daily,0,3000,2025-11-02,
